日期,开盘价(元),最高价(元),最低价(元),收盘价(元)
2022-07-01,"6,999.6770","7,039.8504","6,967.4839","6,994.5009"
2022-07-04,"6,985.0534","7,076.3219","6,928.4012","7,076.3219"
2022-07-05,"7,081.9016","7,098.5729","6,950.2368","7,036.0020"
2022-07-06,"7,014.4512","7,041.8720","6,890.9273","6,953.9802"
2022-07-07,"6,955.5319","7,053.4512","6,910.0868","7,041.8666"
2022-07-08,"7,067.0328","7,084.8969","6,990.7406","7,000.7850"
2022-07-11,"6,976.0956","6,976.0956","6,830.4695","6,893.6346"
2022-07-12,"6,891.5793","6,911.8035","6,779.5552","6,779.5552"
2022-07-13,"6,780.6119","6,855.0679","6,737.8762","6,834.9024"
2022-07-14,"6,823.0925","6,954.9138","6,809.1021","6,920.8735"
2022-07-15,"6,889.8101","6,966.0435","6,852.8163","6,852.8163"
2022-07-18,"6,868.2993","6,953.9319","6,839.1318","6,953.9319"
2022-07-19,"6,956.8634","7,033.2500","6,932.7365","7,009.3239"
2022-07-20,"7,028.7918","7,110.1043","7,019.5129","7,110.1043"
2022-07-21,"7,098.2697","7,134.2176","7,067.1473","7,075.2943"
2022-07-22,"7,081.5627","7,124.3035","6,969.4308","7,034.5975"
2022-07-25,"7,037.7554","7,068.3408","6,933.8186","6,948.9088"
2022-07-26,"6,949.1898","7,031.1124","6,901.9321","7,027.4189"
2022-07-27,"7,018.2244","7,109.5393","7,005.0698","7,099.4335"
2022-07-28,"7,138.3164","7,196.7307","7,112.7436","7,150.1980"
2022-07-29,"7,152.3253","7,179.4714","7,105.3349","7,117.4341"
2022-08-01,"7,100.7119","7,180.4544","7,055.6067","7,180.4544"
2022-08-02,"7,098.1829","7,098.1829","6,872.7542","6,957.9819"
2022-08-03,"6,968.2919","7,079.8536","6,893.5238","6,916.6704"
2022-08-04,"6,953.9832","6,977.3924","6,853.6962","6,960.3118"
2022-08-05,"6,975.8897","7,096.4347","6,961.6460","7,090.0027"
2022-08-08,"7,082.5358","7,176.4835","7,062.3669","7,176.1050"
2022-08-09,"7,168.9596","7,207.3961","7,131.3362","7,207.3961"
2022-08-10,"7,183.1815","7,231.4319","7,169.8802","7,212.0752"
2022-08-11,"7,241.7323","7,295.8915","7,212.3996","7,294.4863"
2022-08-12,"7,287.6510","7,311.8938","7,228.3421","7,228.8345"
2022-08-15,"7,218.0913","7,296.3373","7,215.2042","7,283.5000"
2022-08-16,"7,290.2408","7,356.1096","7,280.9231","7,324.6198"
2022-08-17,"7,330.4818","7,342.6962","7,280.5736","7,328.6735"
2022-08-18,"7,315.4098","7,358.7071","7,298.9297","7,351.4373"
2022-08-19,"7,353.4344","7,369.7314","7,234.4052","7,234.4052"
2022-08-22,"7,214.4808","7,289.3086","7,170.2037","7,288.5766"
2022-08-23,"7,275.3834","7,310.1297","7,267.7859","7,306.0209"
2022-08-24,"7,312.5540","7,315.1008","7,029.8782","7,039.4103"
2022-08-25,"7,065.3359","7,080.7254","6,930.8387","7,016.3057"
2022-08-26,"7,032.6553","7,103.8343","6,966.0658","6,980.1803"
2022-08-29,"6,884.7298","7,022.7944","6,858.4310","7,021.3148"
2022-08-30,"7,018.7227","7,025.4635","6,943.1440","6,976.7218"
2022-08-31,"6,954.5087","6,966.9915","6,738.5243","6,750.7429"
2022-09-01,"6,757.0061","6,819.6172","6,698.8382","6,717.1001"
2022-09-02,"6,731.6726","6,801.3496","6,695.1043","6,776.8268"
2022-09-05,"6,774.1928","6,831.2212","6,739.1353","6,791.0921"
2022-09-06,"6,808.8744","6,919.6464","6,780.4370","6,919.6464"
2022-09-07,"6,894.7141","6,989.7548","6,882.5945","6,963.5196"
2022-09-08,"6,965.5620","6,975.1324","6,889.8630","6,897.0996"
2022-09-09,"6,908.7126","6,918.2042","6,848.2697","6,913.5790"
2022-09-13,"6,935.5905","6,957.3526","6,886.3606","6,904.0775"
2022-09-14,"6,800.9270","6,851.0935","6,783.1881","6,829.5579"
2022-09-15,"6,859.2486","6,866.5538","6,543.1991","6,619.1888"
2022-09-16,"6,599.2703","6,632.5598","6,480.0965","6,481.2442"
2022-09-19,"6,468.3945","6,504.7515","6,364.0725","6,399.8014"
2022-09-20,"6,441.0957","6,536.4244","6,436.7608","6,482.1313"
2022-09-21,"6,461.2491","6,506.0617","6,378.6339","6,480.6023"
2022-09-22,"6,438.2859","6,554.2989","6,429.4954","6,487.2748"
2022-09-23,"6,486.7864","6,504.0334","6,306.9619","6,363.6835"
2022-09-26,"6,318.2988","6,404.0148","6,274.3391","6,283.5925"
2022-09-27,"6,302.8876","6,409.7760","6,287.7747","6,409.7760"
2022-09-28,"6,397.8366","6,401.8407","6,211.1091","6,211.1091"
2022-09-29,"6,270.9062","6,307.7820","6,192.7715","6,228.7788"
2022-09-30,"6,221.8314","6,241.9587","6,123.9884","6,124.8639"
2022-10-10,"6,136.7118","6,154.0634","5,964.6212","5,984.5008"
2022-10-11,"5,994.7629","6,044.2849","5,939.0680","6,017.7194"
2022-10-12,"6,017.6748","6,192.6534","5,918.0208","6,192.6534"
2022-10-13,"6,162.7051","6,311.5061","6,146.4041","6,252.2225"
2022-10-14,"6,296.3513","6,427.4688","6,286.6716","6,406.4573"
2022-10-17,"6,380.2072","6,476.3980","6,370.1483","6,472.4511"
2022-10-18,"6,490.5965","6,551.7957","6,447.7781","6,508.5038"
2022-10-19,"6,492.5996","6,533.5657","6,460.7004","6,461.1462"
2022-10-20,"6,431.9859","6,525.7988","6,342.1537","6,429.7042"
2022-10-21,"6,433.3269","6,469.0937","6,387.7658","6,432.3255"
2022-10-24,"6,448.8658","6,554.3689","6,335.0726","6,378.4323"
2022-10-25,"6,346.1531","6,411.1661","6,248.8387","6,355.7784"
2022-10-26,"6,358.0600","6,548.6179","6,348.9902","6,491.6916"
2022-10-27,"6,497.5197","6,544.4165","6,459.9232","6,461.6098"
2022-10-28,"6,412.6125","6,446.6048","6,216.2738","6,239.9316"
2022-10-31,"6,201.7469","6,349.1178","6,201.2834","6,292.6191"
2022-11-01,"6,299.0263","6,440.9161","6,277.6156","6,439.8223"
2022-11-02,"6,434.9504","6,557.0101","6,424.6600","6,524.5136"
2022-11-03,"6,467.2272","6,576.3721","6,461.2962","6,566.8413"
2022-11-04,"6,569.1853","6,719.5131","6,568.7819","6,709.6446"
2022-11-07,"6,713.7308","6,749.7555","6,660.9788","6,713.6375"
2022-11-08,"6,707.0126","6,708.0803","6,647.4424","6,694.9562"
2022-11-09,"6,694.4043","6,736.6711","6,664.3706","6,676.0079"
2022-11-10,"6,638.5161","6,663.1129","6,583.8648","6,603.3086"
2022-11-11,"6,749.0665","6,776.7420","6,641.7631","6,643.4817"
2022-11-14,"6,639.0229","6,688.0060","6,570.4905","6,599.6655"
2022-11-15,"6,593.6277","6,752.5127","6,576.8748","6,752.5127"
2022-11-16,"6,749.9594","6,775.3822","6,687.3165","6,702.0410"
2022-11-17,"6,685.9431","6,714.5035","6,629.8971","6,714.5035"
2022-11-18,"6,711.8940","6,752.8371","6,650.7424","6,658.4005"
2022-11-21,"6,622.6030","6,689.3254","6,585.2786","6,689.3254"
2022-11-22,"6,682.0525","6,692.2397","6,556.3362","6,583.2332"
2022-11-23,"6,572.1648","6,592.3046","6,451.9553","6,567.9934"
2022-11-24,"6,573.4721","6,611.7950","6,553.9562","6,586.8576"
2022-11-25,"6,573.0193","6,573.0193","6,508.5162","6,512.1619"
2022-11-28,"6,426.9307","6,494.9809","6,412.0319","6,492.7120"
2022-11-29,"6,505.8964","6,607.4569","6,505.8964","6,594.3225"
2022-11-30,"6,591.6776","6,619.2702","6,561.2745","6,590.3067"
2022-12-01,"6,645.4672","6,691.5091","6,639.6319","6,658.4265"
2022-12-02,"6,644.4420","6,721.6914","6,637.1599","6,680.5415"
2022-12-05,"6,710.7253","6,723.5658","6,675.6024","6,714.3670"
2022-12-06,"6,690.9198","6,731.0664","6,667.0022","6,703.5524"
2022-12-07,"6,684.6082","6,732.2580","6,677.5196","6,705.2873"
2022-12-08,"6,694.8441","6,699.2974","6,648.3468","6,662.3441"
2022-12-09,"6,661.8985","6,684.1491","6,626.9358","6,680.3752"
2022-12-12,"6,669.1657","6,680.6112","6,626.8725","6,655.6737"
2022-12-13,"6,654.6703","6,654.7491","6,586.8681","6,593.6675"
2022-12-14,"6,600.4068","6,626.6992","6,556.8083","6,570.0183"
2022-12-15,"6,557.9042","6,605.7032","6,544.9992","6,597.5505"
2022-12-16,"6,569.0571","6,581.9337","6,504.0540","6,519.4361"
2022-12-19,"6,518.3822","6,537.1353","6,367.4459","6,390.7700"
2022-12-20,"6,380.2153","6,389.0539","6,321.1408","6,341.5833"
2022-12-21,"6,341.2154","6,344.6554","6,255.3488","6,289.1361"
2022-12-22,"6,314.5530","6,319.5743","6,171.1799","6,186.9277"
2022-12-23,"6,154.6586","6,197.2379","6,120.9443","6,160.7451"
2022-12-26,"6,161.9366","6,276.1107","6,161.9366","6,275.5244"
2022-12-27,"6,288.6065","6,328.3589","6,256.0420","6,325.6279"
2022-12-28,"6,304.5897","6,306.9491","6,251.3018","6,268.4658"
2022-12-29,"6,253.7945","6,322.2460","6,245.2290","6,261.8292"
2022-12-30,"6,283.4999","6,296.2444","6,262.6000","6,281.6209"
2023-01-03,"6,286.8142","6,433.7855","6,275.6881","6,423.7013"
2023-01-04,"6,423.4296","6,445.6191","6,385.0033","6,421.2767"
2023-01-05,"6,427.4547","6,489.9890","6,413.7500","6,485.4688"
2023-01-06,"6,482.8830","6,539.7586","6,478.6263","6,500.3203"
2023-01-09,"6,523.1367","6,559.4607","6,517.5746","6,535.7493"
2023-01-10,"6,541.8195","6,546.5415","6,505.0979","6,540.2008"
2023-01-11,"6,544.5669","6,562.3510","6,480.9450","6,486.9049"
2023-01-12,"6,495.1598","6,529.8127","6,469.4774","6,489.5702"
2023-01-13,"6,505.2372","6,517.5132","6,475.6566","6,517.5132"
2023-01-16,"6,521.4536","6,628.7303","6,521.4536","6,591.8056"
2023-01-17,"6,600.2506","6,622.3179","6,573.2817","6,597.4946"
2023-01-18,"6,613.7424","6,635.8547","6,593.3716","6,613.0050"
2023-01-19,"6,605.4480","6,678.1792","6,590.4188","6,676.0803"
2023-01-20,"6,690.1434","6,740.1299","6,690.1434","6,736.8515"
2023-01-30,"6,815.1394","6,839.8425","6,780.3729","6,786.4530"
2023-01-31,"6,763.3994","6,820.1422","6,758.9024","6,805.2756"
2023-02-01,"6,815.0569","6,916.7257","6,812.7858","6,916.7204"
2023-02-02,"6,926.5792","6,969.7877","6,908.6973","6,933.2257"
2023-02-03,"6,922.7904","6,934.3247","6,829.3987","6,925.0760"
2023-02-06,"6,902.4919","6,928.2811","6,853.9114","6,891.4130"
2023-02-07,"6,900.2322","6,924.4191","6,864.2057","6,924.3213"
2023-02-08,"6,927.3303","6,932.9905","6,873.5989","6,877.7247"
2023-02-09,"6,864.0266","6,999.1821","6,850.5692","6,999.1821"
2023-02-10,"6,991.2341","7,015.2486","6,926.4825","6,975.3945"
2023-02-13,"6,976.3304","7,052.5960","6,973.4081","7,052.1766"
2023-02-14,"7,064.5292","7,070.3347","7,028.7851","7,061.4490"
2023-02-15,"7,062.3616","7,076.8682","7,038.9856","7,063.6048"
2023-02-16,"7,063.9265","7,098.9176","6,878.3483","6,925.2034"
2023-02-17,"6,931.9932","6,954.8464","6,861.3048","6,868.5477"
2023-02-20,"6,871.8624","6,959.7514","6,825.8738","6,959.3609"
2023-02-21,"6,969.3549","7,008.5464","6,939.5929","6,990.4751"
2023-02-22,"6,961.1504","7,014.5615","6,947.1167","6,998.4298"
2023-02-23,"6,997.7826","7,008.6785","6,929.6117","6,966.7866"
2023-02-24,"6,971.6486","6,983.1603","6,906.6857","6,944.8240"
2023-02-27,"6,928.0344","6,950.8831","6,876.2536","6,894.2959"
2023-02-28,"6,911.3624","6,955.5737","6,874.9253","6,955.5737"
2023-03-01,"6,955.4817","7,002.7711","6,932.7567","7,002.7711"
2023-03-02,"6,999.2322","7,021.1088","6,963.0554","6,972.3062"
2023-03-03,"6,970.2132","6,997.4245","6,921.2669","6,967.9400"
2023-03-06,"6,973.5226","7,004.7097","6,933.9929","6,997.0444"
2023-03-07,"6,991.5594","6,993.1771","6,855.3435","6,855.3435"
2023-03-08,"6,838.6286","6,894.3639","6,832.0372","6,891.4556"
2023-03-09,"6,898.2397","6,911.5384","6,851.9088","6,892.8565"
2023-03-10,"6,854.4101","6,864.9351","6,795.2231","6,798.2987"
2023-03-13,"6,780.0226","6,832.6210","6,750.2188","6,832.6210"
2023-03-14,"6,824.2481","6,824.2481","6,690.0864","6,769.8491"
2023-03-15,"6,797.8207","6,844.9657","6,794.4080","6,803.4738"
2023-03-16,"6,769.6067","6,777.9062","6,677.6809","6,689.7826"
2023-03-17,"6,726.9574","6,781.9456","6,717.1440","6,736.3672"
2023-03-20,"6,745.9524","6,760.9101","6,694.5219","6,721.4545"
2023-03-21,"6,726.7980","6,810.2876","6,725.8348","6,809.3913"
2023-03-22,"6,830.1938","6,845.7609","6,810.7648","6,840.3262"
2023-03-23,"6,827.6761","6,869.1755","6,809.8508","6,868.8345"
2023-03-24,"6,874.5382","6,880.1948","6,840.7504","6,867.9521"
2023-03-27,"6,874.3859","6,900.6329","6,830.9450","6,886.6891"
2023-03-28,"6,881.1088","6,884.5434","6,816.4473","6,825.3831"
2023-03-29,"6,825.1294","6,839.8990","6,785.1494","6,806.2811"
2023-03-30,"6,802.0708","6,814.6894","6,751.6924","6,807.6446"
2023-03-31,"6,806.6085","6,878.3186","6,801.9431","6,875.8083"
2023-04-03,"6,878.0889","6,966.6926","6,878.0889","6,962.2048"
2023-04-04,"6,960.9060","6,966.9930","6,918.1327","6,953.3625"
2023-04-06,"6,926.1884","6,988.3749","6,921.6618","6,983.0265"
2023-04-07,"6,987.0070","7,043.2220","6,978.3481","7,042.8904"
2023-04-10,"7,050.2353","7,052.7405","6,950.7705","6,968.5725"
2023-04-11,"6,967.0298","6,986.4426","6,937.0196","6,984.1419"
2023-04-12,"6,989.6930","7,027.8398","6,979.2780","7,021.0163"
2023-04-13,"7,011.6577","7,029.1040","6,956.6755","6,966.8182"
2023-04-14,"6,978.5923","7,026.1210","6,942.5691","7,020.0943"
2023-04-17,"7,009.4682","7,030.2397","6,989.6971","7,012.7730"
2023-04-18,"7,002.2564","7,014.3848","6,961.5056","6,997.0715"
2023-04-19,"6,988.6549","7,011.9309","6,955.3609","6,965.5757"
2023-04-20,"6,956.3653","6,963.8986","6,911.9811","6,963.8986"
2023-04-21,"6,954.0985","6,963.0768","6,773.5121","6,773.5121"
2023-04-24,"6,766.5182","6,771.6524","6,692.2243","6,725.2706"
2023-04-25,"6,708.2779","6,711.5677","6,517.2733","6,603.2389"
2023-04-26,"6,577.3592","6,667.4287","6,573.8778","6,624.4004"
2023-04-27,"6,597.7306","6,672.2190","6,593.3841","6,633.4926"
2023-04-28,"6,617.3249","6,724.5733","6,617.3249","6,723.3045"
2023-05-04,"6,701.4906","6,738.4431","6,698.6416","6,733.9694"
2023-05-05,"6,723.1596","6,723.9795","6,612.7412","6,653.6532"
2023-05-08,"6,660.9166","6,714.3891","6,660.9166","6,702.4999"
2023-05-09,"6,696.6682","6,705.7377","6,610.5670","6,611.6367"
2023-05-10,"6,599.7879","6,648.0377","6,576.3994","6,627.3114"
2023-05-11,"6,634.1640","6,653.3824","6,618.1927","6,622.5211"
2023-05-12,"6,608.8276","6,630.5588","6,535.1101","6,535.9439"
2023-05-15,"6,537.3967","6,585.9102","6,466.4489","6,585.9102"
2023-05-16,"6,586.7176","6,586.7176","6,501.3067","6,516.2886"
2023-05-17,"6,500.4383","6,555.7688","6,497.3788","6,554.9802"
2023-05-18,"6,557.3701","6,595.4909","6,554.0805","6,583.7382"
2023-05-19,"6,571.0867","6,621.4262","6,545.0847","6,602.3174"
2023-05-22,"6,589.3510","6,608.8834","6,556.7401","6,595.9844"
2023-05-23,"6,591.5570","6,600.8024","6,528.4533","6,528.4533"
2023-05-24,"6,507.0598","6,564.5130","6,476.6892","6,513.1817"
2023-05-25,"6,502.2302","6,541.3883","6,424.4469","6,501.0001"
2023-05-26,"6,495.3476","6,558.1085","6,451.7266","6,546.4083"
2023-05-29,"6,560.1612","6,579.1509","6,518.0312","6,534.1166"
2023-05-30,"6,517.7067","6,565.4766","6,461.0928","6,564.4686"
2023-05-31,"6,556.5156","6,581.9341","6,523.2732","6,561.6487"
2023-06-01,"6,539.2594","6,616.5268","6,515.0228","6,574.7576"
2023-06-02,"6,585.7295","6,640.5298","6,585.7295","6,626.2794"
2023-06-05,"6,631.2217","6,647.2037","6,609.0166","6,632.9556"
2023-06-06,"6,625.0863","6,625.0863","6,475.2594","6,489.8113"
2023-06-07,"6,487.1964","6,517.3187","6,467.3044","6,488.5574"
2023-06-08,"6,477.9401","6,478.3166","6,399.7824","6,442.4819"
2023-06-09,"6,446.6202","6,500.4469","6,427.9190","6,495.5639"
2023-06-12,"6,488.1996","6,549.7845","6,474.8627","6,530.1606"
2023-06-13,"6,525.0477","6,561.0211","6,519.9667","6,554.9567"
2023-06-14,"6,556.0322","6,591.6938","6,547.4861","6,578.1228"
2023-06-15,"6,579.4618","6,618.6241","6,568.6105","6,613.9549"
2023-06-16,"6,613.1045","6,674.6219","6,602.0393","6,669.0051"
2023-06-19,"6,674.1185","6,707.2268","6,673.8122","6,693.2990"
2023-06-20,"6,683.9242","6,717.7127","6,671.9896","6,693.9147"
2023-06-21,"6,679.1478","6,681.5664","6,548.4066","6,548.4066"
2023-06-26,"6,504.9705","6,535.4920","6,404.0444","6,420.9726"
2023-06-27,"6,425.8427","6,518.9827","6,424.3317","6,507.2728"
2023-06-28,"6,504.4987","6,505.4702","6,367.3527","6,475.5050"
2023-06-29,"6,465.0955","6,542.2764","6,462.0679","6,520.0393"
2023-06-30,"6,507.5038","6,615.9736","6,500.8607","6,602.0372"
2023-07-03,"6,617.0761","6,640.3394","6,571.8428","6,612.8844"
2023-07-04,"6,610.6637","6,639.8164","6,599.6000","6,638.4471"
2023-07-05,"6,632.3668","6,642.5486","6,575.7300","6,584.4232"
2023-07-06,"6,573.5756","6,619.2917","6,558.8851","6,567.0789"
2023-07-07,"6,553.5581","6,558.1084","6,486.1147","6,521.4265"
2023-07-10,"6,539.0792","6,556.1540","6,501.7461","6,526.8519"
2023-07-11,"6,531.6276","6,579.3695","6,514.9906","6,579.3695"
2023-07-12,"6,576.9418","6,576.9621","6,476.8466","6,482.9867"
